"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009145","purine nucleoside triphosphate biosynthetic process","18/888","115/28928",0.156521739130435,5.09894242068155,7.83782701731596,1.43294516319761e-08,6.85664260590058e-05,6.1073631218812e-05,"50873/66046/21405/66377/68073/11534/68055/433182/17716/17717/17706/17705/17718/17719/17721/17722/17720/18950",18
"GO:0009142","nucleoside triphosphate biosynthetic process","18/888","126/28928",0.142857142857143,4.65379665379665,7.31454808563263,6.15159917002466e-08,0.000104757959480654,9.33102299812285e-05,"50873/66046/21405/66377/68073/11534/68055/433182/17716/17717/17706/17705/17718/17719/17721/17722/17720/18950",18
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process","17/888","114/28928",0.149122807017544,4.85791054212107,7.34466477833724,7.49734901214243e-08,0.000104757959480654,9.33102299812285e-05,"50873/66046/21405/66377/68073/68055/433182/17716/17717/17706/17705/17718/17719/17721/17722/17720/18950",17
"GO:0006754","ATP biosynthetic process","16/888","102/28928",0.156862745098039,5.11005122769829,7.39987367292627,8.75719619483003e-08,0.000104757959480654,9.33102299812285e-05,"50873/66046/21405/66377/68073/68055/433182/17716/17717/17706/17705/17718/17719/17721/17722/17720",16
"GO:0009152","purine ribonucleotide biosynthetic process","20/888","162/28928",0.123456790123457,4.02179957735513,6.86361004825087,1.38184198868809e-07,0.000113606311298494,0.000101191652521059,"11717/50873/66046/23971/21405/66377/68073/11534/68055/433182/17716/17717/17706/17705/17718/17719/17721/17722/17720/18950",20
"GO:0009201","ribonucleoside triphosphate biosynthetic process","17/888","119/28928",0.142857142857143,4.65379665379665,7.10759934500803,1.42453054919742e-07,0.000113606311298494,0.000101191652521059,"50873/66046/21405/66377/68073/68055/433182/17716/17717/17706/17705/17718/17719/17721/17722/17720/18950",17
"GO:0006164","purine nucleotide biosynthetic process","22/888","198/28928",0.111111111111111,3.61961961961962,6.58221695056072,2.18436436331864e-07,0.000149316906835424,0.000132999869279356,"11717/50873/70789/66046/23971/21405/23962/66377/68073/11534/68055/433182/17716/17717/17706/17705/17718/17719/17721/17722/17720/18950",22
"GO:0072522","purine-containing compound biosynthetic process","25/888","252/28928",0.0992063492063492,3.23180323180323,6.33236679182591,3.00591800978497e-07,0.000179791470960264,0.00016014423712657,"73095/11717/107476/50873/70789/66046/23971/21405/23962/68801/66377/68073/11534/68055/433182/17716/17717/17706/17705/17718/17719/17721/17722/17720/18950",25
"GO:0009144","purine nucleoside triphosphate metabolic process","26/888","278/28928",0.0935251798561151,3.04673018342083,6.10224801875852,5.51620711258978e-07,0.000281000968649847,0.000250293773758617,"11717/20185/16000/18293/17883/50873/76055/72175/67414/66046/21405/66377/68073/11534/68055/433182/17716/17717/17706/17705/17718/17719/17721/17722/17720/18950",26
"GO:0009260","ribonucleotide biosynthetic process","20/888","177/28928",0.112994350282486,3.68096910469792,6.36679902534007,5.87253852977737e-07,0.000281000968649847,0.000250293773758617,"11717/50873/66046/23971/21405/66377/68073/11534/68055/433182/17716/17717/17706/17705/17718/17719/17721/17722/17720/18950",20
